Rating,Review
7,"(SPOILER FREE PART)

It feels like every John Wick movie is a remastered version of a previous one. Better choreography, better fight scenes, better visuals, bigger budged but it's more or less the same movie with the same meh story and the same meh characters. Of course most of us know what a John Wick movie is so no one's surprised here. And if it is exactly what you're expecting than you won't be disappointed.

FIRST, THE GOOD THINGS

Cinematography and production design, especially the colours. The colour palette is beautiful, maybe overdone here and there but most of the time it's just beautiful.

Fight scene choreography is top tier as it was in previous movies and probably even better.

Music is pretty good and in combination with the visuals it creates a really stylish and pleasant to look at movie.

THE NOT SO GOOD THINGS

The characters are kind of cheesy as is the whole story, it's not terrible but it is not memorable.

Also there's this feeling about this movie that the only thing that the creators were focusing on is how to improve action sequences at any cost even if it makes movie completely unrealistic. And I GET IT it is not supposed to be very realistic but at least it should be somewhat believable because sometimes it is so not believable that it's just breaking the immersion where this could be avoided.

The worst part for me was the disconnection between the fight scenes and the surroundings like everything that happens to the characters happens in this fake world. It felt like the everything around the ones involved in the fights is just there to make it look good and make us believe that all of this is happening in the real world and not a movie set but it completely fails at that and feels like like some kind of exhibition of fight choreography.

(SPOILERS BELOW)

Couple of examples :

Heaven and Hell nightclub scene.

People mindlessly dancing and not paying attention to the gun chase that is happening in front of them. Shots were fired, axes were thrown, people were running, fist fighting, bleeding, falling down from deadly heights. Almost nobody cared. I GET IT we are supposed to believe that the music is very loud, people are maybe under influence of alcohol or whatever else but I mean come on shot were fired...

The Place de l'Etoile roundabout shootout.

This scene was very similar to the aforementioned.

Once again the unresponsiveness from the cars around them was very immersion breaking. People were driving around like nothing is happening even though dead bodies should be lying around, multiple people walking and shooting in the middle of extremely busy traffic. Every car in the scene felt like was driven by the NPCs from a video game that have their dedicated route and it doesn't matter if they hit your with a car or not they will continue to go like nothing happened. And the end of the scene they show you the aftermath so you would think that this whole thing had some kind of effect to the traffic but until that point it didn't feel like that at all.

Also the whole fight scene was so unnecessary long just to show some crazy moments were the baddies and John Wick himself was hit by the cars multiple times. At least those moments were indeed impressive. But if the scene was at least a lot shorter it wouldn't be as unbelievable as it was.

And the scene on the stairs...was it really necessary? Did people actually enjoy yet another super long shootout scene where Wick kills yet another 50 bad guys but now on his way up the stairs (twice!) We've seen that already.

And the blind guy...I mean come on he's blind...

All these things that I've mentioned does not make John Wick 4 a bad movie but it is definitely not the best action movie as some wants to claim it may not even be the best overall John Wick movie.

If you can turn off your brain and just enjoy the fight choreography you will probably enjoy it, but it feels like JW4 wants you to turn off your brain the most out of all 4 movies.

All in all the movie wasn't bad, it's a bit too long, too unrealistic and the ending is unsatisfying."
9,"By now you know what to expect from a John Wick movie. I thought the franchise was losing a little momentum in chapter 3 so I was worried this could be disappointing. It's not. It's even more on steroids than any Wick before! Even close to 3 hours it doesn't feel to long which is very special for a action movie. This franchise has set new standards. If anybody says a movie is good like John Wick, it better f'n be! The set pieces as everyone mentioned before are really insane this time. The Tokyo sceney with illuminated cherry blossoms was beautiful. The only super illogical thing that bothered me was that nobody flinched at the nightclub, eventually they did but after a whole 10 minute beatdown through the whole club, but then again it's a shady nightclub for high table people. If you liked the first three movies, get your ass to the cinema. Yeah."
7,"Think it's gone too far past how great JW1 was,just over hyped now. How is all this action happening with no police any where?

A blind man shooting people but no one can shoot him ?? The main body guard for the main villain should of been killed plenty of times,JW puts bullets in people who you know are dead but leaves this guy in the middle of the road when he's the main threat??How is all the violance happening in the street and night club and no one batters an eye lid ??why did he leave the underground to go to the church that's obviously miles away to then end up in a shootout ? Surly he got of go there easier ? The overlay of the radio DJ at the end was annoying,how did she know where he wa aging to be constantly??"
8,"Most American action flicks released these days have poor screenplays and overuse computer-generated imagery. The John Wick franchise is one of the few exceptions, along with Mission Impossible. These franchises keep getting better with every entry. Hollywood can make action masterpieces, but Marvel has greater demand, so that's what we get most of. It's a shame.

The stunts and choreography are beyond impressive. Every artist involved does their job to perfection. Donnie Yen's performance is unbelievable. Not only does he fight great, but he also has to move like a blind man. Keanu Reeves is also very impressive. Keanu IS John Wick. Although there are a few scenes where his enemies stand by and wait for their turn to attack, it's easy to overlook because everything else is so great.

I can't fathom how anyone could choose to watch Ant-Man over John Wick. It's so fast-paced, and the choreography and stunts are mesmerizing and brutal. When the action breaks out, it's unbelievable. It's hard to explain -- you have to see it! Why watch a computer-generated ""superhero"" fly around when you can witness Reeves and Yen engage in a genuine and thrilling fight?"
No rating,"From the very beginning to the end, nothing but endless kills, fighting, close combats, bloods squirts or splashes, KR after four chapters, he looked older, slower and tiresome. The screenplay was so pretentious and pointless, the dialog looked forced and boring, katana swords vs. Bullets, and almost every bullet could be fenced off by the katana sword blades. The scenarios and the plots just kept stacked up without any reason or clue, just kill, kill, kill...nothing but kills. All the fighting sequences just like Shaw Brothers' 1970s poor and laughable Hong Kong martial art movies, heavily choreographically staged, looked so forced and fake. Every kill was not killed with one bullets but many, yet the handguns seemed equipped with endless bullets, bang, bang, bang, even the fallen guys already dead, but still needed to be shot several times more to increase the violent sound effect. I don't know what's the purpose of making these 4th Chapter, and I think the 1st Chapter only needed a following 2nd Chapter to end it, but what the heck, brainless young viewers need bloody fights, more dead bodies, ridiculous screenplay with clueless storyline, no real plots or real story really needed, just created something like violent video games.

When John Wick fought for his life in the Japanese hotel against so many clueless foes and the Zatoishi-like blind swordsman played by Donny Yen with a Botox injected face, we all decided to quit at the same time.

Hey, it's time to wrap it up, guys, no sense to continue to Chapter 5!"
8,"I can see why people love it and I can see why people hate it. People want different things out of a movie and John Wick 4 delivers exceptionally well in certain areas while being mediocre in others.

A quick summary is I had a fking great time watching it at some points and a little bored during others. The action scenes are fantastic. It's a TON of fun and really cool to watch. A little towards the middle of the film it did feel a bit slow and dragged out. Cutting out 15 mins would be perfect.

Held up by good action and decent laughs is the weak story. I absolutely LOVE the idea of the underground black market, the continentals, and the high table. I wish we got to see more of that world. I wanted more backstory, more exposure, more display of how they ran behind the scenes. Hopefully I'll get to see that in the Ballerina and Continental.

The other thing I think hindered the movie was that the idea of the high table got watered down. They started off as some serious group that mean business that you don't want to mess with. In John Wick 4 I felt like they were kind of a joke and not really as big as mean as people made them out to be. John Wick was just so broken in the 4th chapter. I know it's the whole appeal of John Wick but it does take away from the story and suspense when, even with suspension of disbelief, is just pure absolute absurdity. But that's also why I love it!

I swear John Wick can take more hits than some Avengers. He's like a tank with the body of Wolverine.

But regardless of what you're looking for you have to give it to the crew for how much work and dedication they put in to this movie. The quality really shows here. It's just really fun and exciting to watch. I rate it higher than the other John Wick films even though it's not my favorite just because in 9 out of 10 ways it's bigger and better.

But I love the other John Wick films because we got more backstory, more Continental, and more focus on story."
9,"Stuntman turned writer/director Chad Stahelski struck gold with his 2014 surprise hit John Wick. It was somewhat of a comeback for the legendary Keanu Reeves and reinvigorated the action genre. Since then it's become THE action juggernaut franchise. Now we are on number 4 and while usually things get redone with that amount of sequels, this film innovates and thrills to new heights in an absolute epic.

One of the most surprising aspects of this particular entry, is the story being written as well as it is. Something that is hard to come by in the genre at times. Not saying the others in the franchise weren't but this is easily the best story diving deeper in the high table aspects as well as John Wick's true emotions . The rich characterization is also at its best with outstanding additions like Skaarsgard, and even more screen time for supporting greats like Fishburne to compliment the magnificent Reeves. RIP Lance Reddick. It's nice to have such substance amongst the endless high octane ballistic visuals.

Speaking of ballistic, this movie goes more all out than any I've seen for insanely well crafted choreographed shootout and fight scenes. Just when you thought you've seen it all, Stahelski/Reeves prove their action minds are ever evolving. These guys were born to make action movies together.

The extremely vibrant colors and plethora of locations is also a feast for the eyes. The sharp atmospheric imagery creates the ultimate backdrop for not only the action but also just the dialogue. The sound is also top notch and perfectly compliments the intensity. It's just an absolute sensory journey that you don't get in too many action films aside from the Wick genre.

Overall the limitless and outrageous action alone is nothing like we've seen before for the genre or just cinema in general . But also this rich unique story may only build Wick's timeless character for more films in the future which at this momentum will be welcomed."
10,"Ever since the original John Wick, the franchise has set a standard of what action in Hollywood should be. Thanks to Chad Stahelski and Keanu Reeve's knowledge of the technical aspects of shooting action, they've been able to deliver expertly choreographed, shot, and edited action films that are now the go to as examples of great action filmmaking. And so, the expectations for the fourth film were fairly high, especially as it became more apparent this was not only the culmination of everything before it, but a whopping 169 minutes long. Rest assured, however, that it delivers in spades. Everything we have come to know and love is here, but with an infusion of creativity like we haven't seen from the franchise yet.

John Wick is in a bad way as we open up. He's a man on a mission to get out from under the High Table with seemingly no end in sight. As he blazes a trail of bullets and corpses, those who have helped him or crossed his path find their own lives disrupted. With all hope lost, he soon finds the opportunity he's looking for when he discovers that he can put his life on the line for a chance to finally get out. The film brings with it a whole host of new characters, including Donnie Yen's Caine, Shamier Anderson's Tracker, Hiroyuki Senada's Shimazu, Rina Sawayama's (in a fantastic big screen debut) Akira, Scott Adkins' Killa, and of course Bill Skarsgard as new villain Marquis. It's a full cast, but everyone gets a chance to shine and could easily have their own films. Donnie Yen in particular demonstrates, once again, that he is a legend in this industry with several great fights of his own. But, of course, this is Keanu's film all the way and he gets to bring everything with him in the biggest film yet.

Covering four continents, we get fights on a massive set of stairs, fights in the middle of traffic, at one of the coolest looking hotels ever shown on screen, and so on. The fighting, of course, is exceptional, and it brings nunchakus, dogs, throwing stars, swords, guns, and so much more. It's everything a John Wick fan could want and, because these films are so technically proficient, you never feel like you're missing any of the action. Possibly the most creative choice is my favorite scene, one that combines a visually fantastic weapon with a shot choice that is unusual for action films of this nature, but the combination of these two pushes the scene into maybe one of action film's greatest scenes.

Admittedly, the story does leave a bit to be desired, but the minor complaints about these kinds of things pale in comparison to what we get. Hollywood has a new film to hold itself to and I have a feeling that (at least for me) action filmmaking will be judged by the standard this movie sets. It's such a blast, I already want to see it again."
6,"For a conclusion to a franchise (at least the Wick story arc) you'd expect story. Each movie has gotten a little further away from telling an interesting story. I even enjoyed when they layered in more of this far-fetched stuff with the high-table & continental in 2 & 3. But, we still don't know much about this world, how it was created, or who is in charge. I thought this movie would do more with this secret government for criminals, but instead this movie made those aspects of the story pointless. So many elements from the past movies were just glazed over to essentially give this movie no story. No Elder, No Winston's betrayal, No past characters except Winston & The King, No Dog, No Wife. All of those things amounted to a few 1-liners in this movie. Instead they focused on the worst aspect of 3 and multiplied it with fights that last too long, and people that need to be shot 20 times. I personally preferred the realism and tactical focus to the action of 1 & 2."
10,"Keanu Reeves is freaking Awesome this is by far his best performance yet. Director Chad Stahelski gives us the Best Action movie in the history of Cinema. The action is crisp well directed and it is beautifully choreographed. The villains are the best in the franchise Billy Sarsgard and Donnie Yen are amazing. The rest of the cast is awesome as well. The directing, writing , plot ,ending and the begging is perfect. It never feels too long or short , the runtime is well handled. The side characters like Winston,Killa and Charon once again steal the big screen every time they appear in the movie."
